Months,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Q1,"1,172,072","1,267,922","1,307,836","1,342,477","1,502,896","1,711,253","1,877,853","1,155,226","70,901","159,546","1,291,539","1,582,677"
Jan,"404,106","442,045","460,577","466,086","532,206","596,241","647,206","547,963","20,567","44,910","402,943","540,023"
Feb,"385,760","425,801","430,207","448,468","493,316","542,937","597,483","383,863","20,580","50,410","434,503","448,551"
Mar,"382,206","400,076","417,052","427,923","477,374","572,075","633,164","223,400","29,754","64,325","453,093","594,103"
Q2,"920,527","933,446","994,154","1,018,455","1,159,783","1,290,407","1,460,621","27,600","31,659","347,216","1,288,393","533,932"
Apr,"327,000","332,690","361,139","367,684","412,925","463,423","537,656","4,841","11,911","81,939","430,129","533,932"
May,"292,115","300,302","314,748","320,601","368,809","419,171","472,950","10,475","8,757","101,979","431,650","524,390"
Jun,"301,412","300,454","318,267","330,170","378,049","407,813","450,013","12,284","10,964","163,298","416,150",
Q3,"964,612","998,690","1,044,880","1,147,483","1,250,082","1,374,373","1,475,823","64,854","29,144","759,010","1,346,950",
Jul,"338,761","340,091","364,325","395,761","446,627","454,056","502,421","24,029","26,896","336,769","457,412",
Aug,"342,064","347,211","366,096","406,214","427,224","494,043","519,502","23,028","19,463","254,813","464,637",
Sep,"283,787","311,388","314,459","345,508","376,231","426,274","453,900","21,137","9,967","267,500","424,901",
Q4,"1,152,954","1,302,717","1,428,361","1,503,297","1,689,369","1,825,404","1,796,256","58,463","64,821","1,010,845","1,526,494",
Oct,"334,410","390,637","408,922","414,077","417,039","453,370","481,782","20,210","12,759","310,182","480,330",
Nov,"386,737","411,501","444,640","477,866","570,471","596,145","602,042","18,184","18,933","330,181","510,231",
Dec,"431,807","500,579","574,799","611,534","701,886","755,145","712,462","42,204","13,229","362,571","535,738",
Total,"4,210,165","4,502,775","4,775,231","5,011,712","5,602,157","6,201,077","6,610,592","1,306,143","196,495","2,276,626","5,453,231","2,949,936"
